date,contact_name,invoice_number,reference,total,amount_due,days_old,project_code,status
2025-11-23,Hatch Electrical,758,,26801.7,26801.7,136,ACT-FM,AUTHORISED
2025-11-19,Defy Manufacturing,INV-1507,,16500,16500,140,ACT-GD,AUTHORISED
2026-02-12,Thais Pupio Design,3,,15500,15500,55,ACT-HV,AUTHORISED
2026-03-01,Qantas,EVTAFC,,8006.84,8006.84,38,ACT-IN,AUTHORISED
2025-07-16,Peak Up Transport,12475,,6861.5,6861.5,266,ACT-GD,AUTHORISED
2025-07-25,Peak Up Transport,12519,,4863.82,4863.82,257,ACT-GD,AUTHORISED
2026-02-17,Defy Manufacturing,INV-1637,,4812.5,4812.5,50,ACT-GD,AUTHORISED
2026-02-16,Joseph Kirmos,INV-004,,4500,4500,51,ACT-GD,AUTHORISED
2025-03-31,Australian Taxation Office,BAS310325,,4445,4445,373,ACT-UA,AUTHORISED
2026-03-02,Diggermate Franchising,QDFY-020326,,3755.85,3755.85,37,ACT-FM,AUTHORISED
2026-02-18,Imprint5,112207509,,3660.6,3660.6,49,ACT-MD,AUTHORISED
2025-10-26,Qantas,E8OBSN,,2836.9,2836.9,164,ACT-IN,AUTHORISED
2025-11-17,Defy Manufacturing,INV-1503,,2733.72,2733.72,142,ACT-GD,AUTHORISED
2025-11-18,Qantas,DNWMCM,,2299.95,2299.95,141,ACT-IN,AUTHORISED
2025-01-28,Virgin Australia,7952106716284,,2242.86,2242.86,435,ACT-IN,AUTHORISED
2026-03-01,Qantas,081-2384032736,,2178.08,2178.08,38,ACT-IN,AUTHORISED
2025-07-27,Qantas,081-2373761376-77,,2167.46,2167.46,255,ACT-IN,AUTHORISED
2025-01-28,Virgin Australia,7952106716285,,2162.06,2162.06,435,ACT-IN,AUTHORISED
2025-01-28,Virgin Australia,7952106716286,,2162.06,2162.06,435,ACT-IN,AUTHORISED
2026-03-02,Sophie Deirdre Hickey,000108,,2042.5,2042.5,37,ACT-HV,AUTHORISED
2026-02-06,Oonchiumpa Consultancy And Services,INV-0032,,1895.13,1895.13,61,ACT-OO,AUTHORISED
2025-10-13,Hatch Electrical,703,,1793.66,1793.66,177,ACT-FM,AUTHORISED
2025-08-21,Thrifty,76164966–3,,1774.66,1774.66,230,ACT-IN,AUTHORISED
2025-11-18,Qantas,DNYZEG,,1736.28,1736.28,141,ACT-IN,AUTHORISED
2025-07-16,Qantas,DRCBUY,,1733.94,1733.94,266,ACT-IN,AUTHORISED
2025-09-02,Qantas,DV3KWS,,1680.18,1680.18,218,ACT-IN,AUTHORISED
2025-01-28,Virgin Australia,7952106716287,,1675.06,1675.06,435,ACT-IN,AUTHORISED
2026-02-21,Sophie Deirdre Hickey,000105,,1660,1660,46,ACT-HV,AUTHORISED
2025-12-26,Qantas,081-2380842715,,1568.74,1568.74,103,ACT-IN,AUTHORISED
2025-10-28,Qantas,F3U6LQ,,1493.42,1493.42,162,ACT-IN,AUTHORISED
2026-02-18,Hatch Electrical,829,,1421.55,1421.55,49,ACT-FM,AUTHORISED
2026-02-15,Thais Pupio Design,2,,1420,1420,52,ACT-HV,AUTHORISED
2026-03-01,Qantas,081-2384081782,,1365.84,1365.84,38,ACT-IN,AUTHORISED
2026-02-27,Defy Manufacturing,INV-1657,,1349.19,1349.19,40,ACT-GD,AUTHORISED
2025-10-26,Qantas,E94GO8,,1258.2,1258.2,164,ACT-IN,AUTHORISED
2025-12-26,Qantas,081-2380841234,,1242.84,1242.84,103,ACT-IN,AUTHORISED
2025-09-09,Haul Global,503-6034314-0886243,,1241.69,1241.69,211,ACT-GD,AUTHORISED
2026-03-01,Qantas,081-2384021223,,1236.97,1236.97,38,ACT-IN,AUTHORISED
2025-07-08,Bunnings Warehouse,W266674593,,1199.8,1199.8,274,ACT-IN,AUTHORISED
2025-06-04,Budget,267847182,,1122.74,1122.74,308,ACT-IN,AUTHORISED
2026-03-01,Qantas,081-2384034814,,1112.89,1112.89,38,ACT-IN,AUTHORISED
2025-03-20,Booking.com,61480,,1104.98,1104.98,384,ACT-IN,AUTHORISED
2025-10-13,Qantas,081-2377541740,,1055.73,1055.73,177,ACT-IN,AUTHORISED
2025-08-08,Palm Island Barge,P41439,,1033.78,1033.78,243,ACT-GD,AUTHORISED
