date,contact_name,project_code,total,gst_at_risk,bank_account
2026-03-03,Qantas,ACT-IN,2178.08,198.01,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,2001.71,181.97,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,2001.71,181.97,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,2001.71,181.97,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,2001.71,181.97,NAB Visa ACT #8815
2026-03-04,Qantas,ACT-IN,1366.51,124.23,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,1236.97,112.45,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,1112.89,101.17,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,854.82,77.71,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,838.74,76.25,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,676.38,61.49,NAB Visa ACT #8815
2026-02-26,Bunnings,ACT-IN,571.1,51.92,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,452.38,41.13,NAB Visa ACT #8815
2026-03-23,Qantas,ACT-IN,449.03,40.82,NAB Visa ACT #8815
2026-03-04,Qantas,ACT-IN,432.52,39.32,NAB Visa ACT #8815
2026-01-27,Qantas,ACT-IN,431.73,39.25,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,415.9,37.81,NAB Visa ACT #8815
2026-03-04,Qantas,ACT-IN,329.22,29.93,NAB Visa ACT #8815
2026-03-24,Qantas,ACT-IN,325.97,29.63,NAB Visa ACT #8815
2026-03-16,Qantas,ACT-IN,305.05,27.73,NAB Visa ACT #8815
2026-02-06,Claude.AI,ACT-IN,287.07,26.1,NAB Visa ACT #8815
2026-03-06,Claude.AI,ACT-IN,286.45,26.04,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,236.16,21.47,NAB Visa ACT #8815
2026-02-17,Hinterland Aviation,ACT-IN,187.68,17.06,NAB Visa ACT #8815
2026-03-03,Qantas,ACT-IN,179.88,16.35,NAB Visa ACT #8815
2026-02-06,BP,ACT-GD,161.9,14.72,NAB Visa ACT #8815
2026-01-27,HighLevel,ACT-IN,143.68,13.06,NAB Visa ACT #8815
2026-02-24,HighLevel,ACT-IN,138.31,12.57,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,137.15,12.47,NAB Visa ACT #8815
2026-02-23,NAB,ACT-HQ,134.16,12.2,NAB Visa ACT #8815
2026-01-08,Uber,ACT-IN,128.73,11.7,NAB Visa ACT #8815
2026-02-17,Uber,ACT-IN,96.69,8.79,NAB Visa ACT #8815
2026-02-05,Flight Bar Witta,ACT-HV,88.95,8.09,NAB Visa ACT #8815
